detailed_description,brief_summary
"PROTOCOL OUTLINE: This is a randomized, double-blind study. Patients are stratified by age. Patients are randomly assigned to androgen replacement therapy with daily dehydroepiandrosterone (DHEA) or placebo for 6 months. All patients may receive 6 additional months of DHEA following randomized therapy. Women on hormonal replacement therapy may receive concurrent conjugated estrogens or oral medroxyprogesterone.","OBJECTIVES: I. Determine the efficacy of dehydroepiandrosterone (DHEA), an androgen replacement hormone, for patients with primary adrenal insufficiency (Addison's disease)."
"PROTOCOL OUTLINE: Subjects are treated for 2 months with depot injections of leuprolide acetate every 4 weeks and testosterone replacement every 2 weeks. Hormone levels are tested every other week. If luteinizing hormone and follicular-stimulating hormone levels are at or below detection on day 56, blood is drawn for a testis-stimulating factor bioassay and subsequent factor purification and characterization. Volunteers are asked to repeat this 2-month procedure no more than 2 times every 12 months.",OBJECTIVES: Purify and characterize a testis-stimulating factor in the blood of adult volunteers who had precocious puberty as boys.
"PROTOCOL OUTLINE: This a dose escalation study to estimate the maximum tolerated dose of recombinant adenovirus encoded with the ornithine transcarbamylase gene. Patients receive a single dose of virus infused into the liver under fluoroscopic guidance. Groups of 3 patients receive successively higher doses of virus; each cohort is observed for safety for 3 weeks before entry of the next group. Patients are followed weekly for 1 month, then every 3 months until stable.",OBJECTIVES: Evaluate the safety and feasibility of administering recombinant adenovirus containing the ornithine transcarbamylase gene to adults with partial ornithine transcarbamylase deficiency.
PROTOCOL OUTLINE: This is an unblinded study. Patients start a preventive heme regimen and are followed for 6 months prior to tin mesoporphyrin. The frequency of attacks is recorded. Patients receive tin mesoporphyrin once a week for 6 months. Patients must avoid sunlight during treatment and for 2 months thereafter. The frequency of heme infusions is reduced by half and the frequency of attacks of porphyria is monitored. Patients are followed for 6 months after last treatment.,OBJECTIVES: I. Evaluate the effectiveness of tin mesoporphyrin in reducing the number of heme infusions needed to prevent acute attacks of porphyria. II. Evaluate the safety and tolerability of tin mesoporphyrin in these patients.
"PROTOCOL OUTLINE: This is an randomized, unblinded, multicenter study. Patients are randomized to receive heme arginate alone or both heme arginate and tin mesoporphyrin. Patients receive a single intravenous dose of tin mesoporphyrin immediately before the first dose of heme arginate. Heme arginate is administered daily for 4 days. Patients are followed at 3 and 6 days after treatment.",OBJECTIVES: I. Evaluate the efficacy of tin mesoporphyrin in patients with acute porphyria attacks who are also treated with a standard course of heme arginate. II. Evaluate the safety and tolerability of tin mesoporphyrin when administered to these patients.
"PROTOCOL OUTLINE: This is a randomized, double blind, placebo controlled, multicenter study. Patients are stratified according to hydroxyurea use. Patients are randomized to treatment poloxamer 188 or placebo. Treatment begins within 12 hours of presentation with crisis. Patients receive poloxamer 188 or placebo by continuous infusion for 48 hours. Pain is assessed before, during, and after treatment. Patients are followed on days 7-14 and 28-35.","OBJECTIVES: I. Assess the efficacy of poloxamer 188 in reducing the duration of painful vaso-occlusive crisis in patients with sickle cell disease. II. Assess the effect of poloxamer 188 on duration and intensity of pain, total analgesic use, and length of hospitalization of these patients."
"PROTOCOL OUTLINE: This is a randomized, multicenter study. Patients are randomized to receive intravenous acetylcysteine or placebo for 72 hours. Treatment must begin within 12 hours of hospitalization. Patients who advance to grade III or IV encephalopathy are eligible for liver transplantation. Patients are followed at 3 weeks.",OBJECTIVES: I. Determine the safety and efficacy of a short course (72 hours) of intravenous acetylcysteine in patients with acute liver failure for whom no antidote or specific treatment is available.
"All patients take ABT-378/ritonavir and efavirenz; there are no placebos in this study. Patients take study medications for 48 weeks, during which time there will be 15 study visits. There is a possibility of a study extension after 48 weeks.",The purpose of this study is to see if ABT-378/ritonavir plus efavirenz is safe and effective in lowering the amount of HIV in the blood of patients who have been treated with more than 1 protease inhibitor (PI).
"PROTOCOL OUTLINE: Newly identified patients receive ribose daily for 8 weeks. Patients who improve continue therapy. If improvement then reaches a plateau, uridine (UR) and thymidine (TDR) are added to the regimen. Patients who receive no benefit after 8 weeks of ribose are treated with UR/TDR. Patients who improve after 8 weeks of this combination continue therapy. Ribose is added to the treatment regimen for patients on UR/TDR at entry. At maximal improvement, TDR and UR are sequentially tapered.",OBJECTIVES: I. Evaluate the efficacy of oral ribose in patients with a complex 5'-nucleotidase syndrome who have not received uridine (UR) and thymidine (TDR). II. Evaluate the efficacy of UR/oral ribose and UR/TDR. III. Evaluate the efficacy of oral ribose given in combination with UR/TDR.
PROTOCOL OUTLINE: Patients are tested for parathyroid hormone response following sequential graded intravenous infusions of sodium citrate and calcium gluconate. Assays include ionized calcium and intact parathyroid hormone.,OBJECTIVES: Determine the relationship between serum calcium concentrations and parathyroid hormone secretion in patients with pseudohypoparathyroidism.
"PROTOCOL OUTLINE: This is a randomized study. One group of patients undergoes the surgical procedure pallidotomy, a precise lesioning of brain cells in the globus pallidus. The other group receives standard medical care for 6 months followed by a pallidotomy.",OBJECTIVES: I. Evaluate the safety and efficacy of pallidotomy immediately following 3 preoperative assessments vs. delayed pallidotomy following 6 months of standard medical therapy in patients with Parkinson disease.
"PROTOCOL OUTLINE: This is a dose escalation study. Patients receive an escalating dose of recombinant human insulin-like growth factor I (IGF-I). IGF-I is given subcutaneously twice a day. The dose of IGF-I is increased each day for 4 days. Glucose is administered intravenously, when necessary, to prevent hypoglycemia. Following the study treatment patients resume prior medication and may undergo surgery. Completion date provided represents the completion date of the grant per OOPD records",OBJECTIVES: I. Determine the dose of recombinant human insulin-like growth factor I that minimizes or decreases the need for exogenous glucose support without causing hypoglycemia.
